站次,站名_链接,站名,到达时间,开车时间,停留,天数,运行时间,里程,二等_一等座,硬卧上_中_下,软卧上_下
27,http://shike.gaotie.cn/zhan.asp?zhan=%D3%C0%CC%A9,永泰站,22:17,22:19,2分钟,1,15小时47分,2007,/,//,"
/
"
28,http://shike.gaotie.cn/zhan.asp?zhan=%B8%A3%D6%DD,福州站,22:45,终点站,0分钟,1,16小时15分,2076,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%D6%D8%C7%EC%B1%B1,重庆北站,始发站,08:49,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%B8%A2%C1%EA%B1%B1,涪陵北站,09:27,09:29,2分钟,1,38分,92,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%CA%AF%D6%F9%CF%D8,石柱县站,10:04,10:06,2分钟,1,1小时15分,183,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B6%F7%CA%A9,恩施站,11:11,11:18,7分钟,1,2小时22分,339,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%D2%CB%B2%FD%B6%AB,宜昌东站,13:03,13:10,7分钟,1,4小时14分,553,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%BE%A3%D6%DD,荆州站,13:44,13:49,5分钟,1,4小时55分,641,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%CF%C9%CC%D2%CE%F7,仙桃西站,14:21,14:23,2分钟,1,5小时32分,731,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,15:14,15:25,11分钟,1,6小时25分,845,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,16:03,16:05,2分钟,1,7小时14分,956,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,16:50,16:52,2分钟,1,8小时1分,1117,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,17:16,17:29,13分钟,1,8小时27分,1204,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,18:21,18:28,7分钟,1,9小时32分,1361,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%BD%AD%C4%FE,江宁站,18:36,18:41,5分钟,1,9小时47分,1373,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%E4%E0%CB%AE,溧水站,18:54,18:56,2分钟,1,10小时5分,1407,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%E4%E0%D1%F4,溧阳站,19:13,19:15,2分钟,1,10小时24分,1459,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%BA%FE%D6%DD,湖州站,19:40,19:42,2分钟,1,10小时51分,1546,/,//,"
/
"
17,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BC%D6%DD%B6%AB,杭州东站,20:06,终点站,0分钟,1,11小时17分,1617,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BC%D6%DD%B6%AB,杭州东站,始发站,10:05,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%BA%FE%D6%DD,湖州站,10:28,10:30,2分钟,1,23分,71,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%D2%CB%D0%CB,宜兴站,10:47,10:49,2分钟,1,42分,127,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%E4%E0%D1%F4,溧阳站,11:01,11:03,2分钟,1,56分,158,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%E4%E0%CB%AE,溧水站,11:20,11:22,2分钟,1,1小时15分,210,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,11:40,11:42,2分钟,1,1小时35分,256,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C8%AB%BD%B7,全椒站,12:02,12:04,2分钟,1,1小时57分,312,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,12:40,12:47,7分钟,1,2小时35分,413,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,13:11,13:13,2分钟,1,3小时6分,500,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F0%D5%AF,金寨站,13:30,13:32,2分钟,1,3小时25分,552,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,14:46,15:09,23分钟,1,4小时41分,772,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%B4%A8,汉川站,15:32,15:34,2分钟,1,5小时27分,818,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%CF%C9%CC%D2%CE%F7,仙桃西站,15:59,16:01,2分钟,1,5小时54分,886,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%C7%B1%BD%AD,潜江站,16:12,16:14,2分钟,1,6小时7分,906,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%D6%A6%BD%AD%B1%B1,枝江北站,16:54,16:56,2分钟,1,6小时49分,1020,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%D2%CB%B2%FD%B6%AB,宜昌东站,17:16,17:20,4分钟,1,7小时11分,1064,/,//,"
/
"
17,http://shike.gaotie.cn/zhan.asp?zhan=%B0%CD%B6%AB,巴东站,18:14,18:16,2分钟,1,8小时9分,1177,/,//,"
/
"
18,http://shike.gaotie.cn/zhan.asp?zhan=%B6%F7%CA%A9,恩施站,19:08,19:12,4分钟,1,9小时3分,1278,/,//,"
/
"
19,http://shike.gaotie.cn/zhan.asp?zhan=%C0%FB%B4%A8,利川站,19:47,19:49,2分钟,1,9小时42分,1339,/,//,"
/
"
20,http://shike.gaotie.cn/zhan.asp?zhan=%CA%AF%D6%F9%CF%D8,石柱县站,20:28,20:30,2分钟,1,10小时23分,1434,/,//,"
/
"
21,http://shike.gaotie.cn/zhan.asp?zhan=%B7%E1%B6%BC,丰都站,20:49,20:51,2分钟,1,10小时44分,1483,/,//,"
/
"
22,http://shike.gaotie.cn/zhan.asp?zhan=%D6%D8%C7%EC%B1%B1,重庆北站,21:45,终点站,0分钟,1,11小时40分,1617,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%D6%D8%C7%EC%B1%B1,重庆北站,始发站,07:32,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%B8%A2%C1%EA%B1%B1,涪陵北站,08:10,08:12,2分钟,1,38分,92,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B7%E1%B6%BC,丰都站,08:31,08:33,2分钟,1,59分,134,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B6%F7%CA%A9,恩施站,09:54,09:58,4分钟,1,2小时22分,339,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%BD%A8%CA%BC,建始站,10:18,10:20,2分钟,1,2小时46分,374,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%D2%CB%B2%FD%B6%AB,宜昌东站,11:48,11:53,5分钟,1,4小时16分,553,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%BE%A3%D6%DD,荆州站,12:27,12:35,8分钟,1,4小时55分,641,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C7%B1%BD%AD,潜江站,13:01,13:03,2分钟,1,5小时29分,711,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%CC%EC%C3%C5%C4%CF,天门南站,13:23,13:25,2分钟,1,5小时51分,762,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%B4%A8,汉川站,13:41,13:43,2分钟,1,6小时9分,799,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,14:06,14:34,28分钟,1,6小时34分,845,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%BA%EC%B0%B2%CE%F7,红安西站,15:04,15:06,2分钟,1,7小时32分,917,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,15:20,15:22,2分钟,1,7小时48分,956,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F0%D5%AF,金寨站,15:54,16:02,8分钟,1,8小时22分,1065,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,16:19,16:21,2分钟,1,8小时47分,1117,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,16:45,16:59,14分钟,1,9小时13分,1204,/,//,"
/
"
17,http://shike.gaotie.cn/zhan.asp?zhan=%D1%EF%D6%DD,扬州站,18:26,18:29,3分钟,1,10小时54分,1429,/,//,"
/
"
18,http://shike.gaotie.cn/zhan.asp?zhan=%CC%A9%D6%DD,泰州站,19:01,19:04,3分钟,1,11小时29分,1493,/,//,"
/
"
19,http://shike.gaotie.cn/zhan.asp?zhan=%BA%A3%B0%B2,海安站,19:28,19:32,4分钟,1,11小时56分,1547,/,//,"
/
"
20,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%CD%A8,南通站,20:05,终点站,0分钟,1,12小时33分,1612,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,始发站,11:55,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%C8%AB%BD%B7,全椒站,12:15,12:17,2分钟,1,20分,56,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,12:53,13:02,9分钟,1,58分,157,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,13:26,13:29,3分钟,1,1小时31分,244,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%BA%EC%B0%B2%CE%F7,红安西站,14:27,14:30,3分钟,1,2小时32分,444,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,15:04,15:28,24分钟,1,3小时9分,516,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%CC%EC%C3%C5%C4%CF,天门南站,16:05,16:08,3分钟,1,4小时10分,599,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C7%B1%BD%AD,潜江站,16:28,16:30,2分钟,1,4小时33分,650,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%BE%A3%D6%DD,荆州站,16:56,16:58,2分钟,1,5小时1分,720,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%D2%CB%B2%FD%B6%AB,宜昌东站,17:32,17:37,5分钟,1,5小时37分,808,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%BD%A8%CA%BC,建始站,19:02,19:11,9分钟,1,7小时7分,987,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%B6%F7%CA%A9,恩施站,19:35,19:45,10分钟,1,7小时40分,1022,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%C0%FB%B4%A8,利川站,20:20,20:23,3分钟,1,8小时25分,1083,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%B7%E1%B6%BC,丰都站,21:19,21:22,3分钟,1,9小时24分,1227,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%D6%D8%C7%EC%B1%B1,重庆北站,22:15,终点站,0分钟,1,10小时20分,1361,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%D6%D8%C7%EC%B1%B1,重庆北站,始发站,08:28,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%B8%A2%C1%EA%B1%B1,涪陵北站,09:06,09:08,2分钟,1,38分,92,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%CA%AF%D6%F9%CF%D8,石柱县站,09:43,09:45,2分钟,1,1小时15分,183,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C0%FB%B4%A8,利川站,10:22,10:24,2分钟,1,1小时54分,278,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%B6%F7%CA%A9,恩施站,10:56,11:00,4分钟,1,2小时28分,339,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%D2%CB%B2%FD%B6%AB,宜昌东站,12:45,12:50,5分钟,1,4小时17分,553,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%BE%A3%D6%DD,荆州站,13:24,13:30,6分钟,1,4小时56分,641,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C7%B1%BD%AD,潜江站,13:55,13:57,2分钟,1,5小时27分,711,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%CC%EC%C3%C5%C4%CF,天门南站,14:17,14:19,2分钟,1,5小时49分,762,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%B4%A8,汉川站,14:35,14:37,2分钟,1,6小时7分,799,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,15:01,15:09,8分钟,1,6小时33分,845,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%C2%E9%B3%C7%B1%B1,麻城北站,15:47,15:49,2分钟,1,7小时19分,956,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%C1%F9%B0%B2,六安站,16:34,16:36,2分钟,1,8小时6分,1117,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%BA%CF%B7%CA%C4%CF,合肥南站,17:00,17:09,9分钟,1,8小时32分,1204,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9%C4%CF,南京南站,18:01,终点站,0分钟,1,9小时33分,1361,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%D6%D8%C7%EC%B1%B1,重庆北站,始发站,13:22,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A4%CA%D9%B1%B1,长寿北站,13:52,13:54,2分钟,1,30分,68,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B8%A2%C1%EA%B1%B1,涪陵北站,14:06,14:08,2分钟,1,44分,92,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%CA%AF%D6%F9%CF%D8,石柱县站,14:43,14:45,2分钟,1,1小时21分,183,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%B6%F7%CA%A9,恩施站,15:50,15:55,5分钟,1,2小时28分,339,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B0%CD%B6%AB,巴东站,16:47,16:49,2分钟,1,3小时25分,440,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%D2%CB%B2%FD%B6%AB,宜昌东站,17:45,17:51,6分钟,1,4小时23分,553,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%BE%A3%D6%DD,荆州站,18:25,18:27,2分钟,1,5小时3分,641,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%CF%C9%CC%D2%CE%F7,仙桃西站,18:58,19:00,2分钟,1,5小时36分,731,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%B4%A8,汉川站,19:25,19:32,7分钟,1,6小时3分,799,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,19:56,20:18,22分钟,1,6小时34分,845,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E4%BA%BA,武汉站,20:42,终点站,0分钟,1,7小时20分,876,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E4%BA%BA,武汉站,始发站,08:07,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,08:28,08:39,11分钟,1,21分,31,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C7%B1%BD%AD,潜江站,09:30,09:32,2分钟,1,1小时23分,165,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BE%A3%D6%DD,荆州站,09:58,10:00,2分钟,1,1小时51分,235,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%D6%A6%BD%AD%B1%B1,枝江北站,10:18,10:20,2分钟,1,2小时11分,284,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%D2%CB%B2%FD%B6%AB,宜昌东站,10:40,10:45,5分钟,1,2小时33分,323,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%B0%CD%B6%AB,巴东站,11:39,11:41,2分钟,1,3小时32分,436,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B6%F7%CA%A9,恩施站,12:35,12:40,5分钟,1,4小时28分,537,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C0%FB%B4%A8,利川站,13:15,13:17,2分钟,1,5小时8分,598,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%CA%AF%D6%F9%CF%D8,石柱县站,13:57,14:00,3分钟,1,5小时50分,693,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%B7%E1%B6%BC,丰都站,14:19,14:21,2分钟,1,6小时12分,742,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%D6%D8%C7%EC%B1%B1,重庆北站,15:15,终点站,0分钟,1,7小时8分,876,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E4%BA%BA,武汉站,始发站,08:07,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,08:28,08:39,11分钟,1,21分,31,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C7%B1%BD%AD,潜江站,09:30,09:32,2分钟,1,1小时23分,165,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BE%A3%D6%DD,荆州站,09:58,10:00,2分钟,1,1小时51分,235,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%D6%A6%BD%AD%B1%B1,枝江北站,10:18,10:20,2分钟,1,2小时11分,284,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%D2%CB%B2%FD%B6%AB,宜昌东站,10:40,10:45,5分钟,1,2小时33分,323,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%B0%CD%B6%AB,巴东站,11:39,11:41,2分钟,1,3小时32分,436,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B6%F7%CA%A9,恩施站,12:35,12:40,5分钟,1,4小时28分,537,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C0%FB%B4%A8,利川站,13:15,13:17,2分钟,1,5小时8分,598,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%CA%AF%D6%F9%CF%D8,石柱县站,13:57,14:00,3分钟,1,5小时50分,693,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%B7%E1%B6%BC,丰都站,14:19,14:21,2分钟,1,6小时12分,742,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%D6%D8%C7%EC%B1%B1,重庆北站,15:15,终点站,0分钟,1,7小时8分,876,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%D6%D8%C7%EC%B1%B1,重庆北站,始发站,13:22,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A4%CA%D9%B1%B1,长寿北站,13:52,13:54,2分钟,1,30分,68,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B8%A2%C1%EA%B1%B1,涪陵北站,14:06,14:08,2分钟,1,44分,92,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%CA%AF%D6%F9%CF%D8,石柱县站,14:43,14:45,2分钟,1,1小时21分,183,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%B6%F7%CA%A9,恩施站,15:50,15:55,5分钟,1,2小时28分,339,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B0%CD%B6%AB,巴东站,16:47,16:49,2分钟,1,3小时25分,440,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%D2%CB%B2%FD%B6%AB,宜昌东站,17:45,17:51,6分钟,1,4小时23分,553,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%BE%A3%D6%DD,荆州站,18:25,18:27,2分钟,1,5小时3分,641,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%CF%C9%CC%D2%CE%F7,仙桃西站,18:58,19:00,2分钟,1,5小时36分,731,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%B4%A8,汉川站,19:25,19:32,7分钟,1,6小时3分,799,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BA%BF%DA,汉口站,19:56,20:18,22分钟,1,6小时34分,845,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%CE%E4%BA%BA,武汉站,20:42,终点站,0分钟,1,7小时20分,876,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C4%CF%BE%A9,南京站,始发站,07:46,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%D5%F2%BD%AD,镇江站,08:09,08:20,11分钟,1,23分,64,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B5%A4%D1%F4,丹阳站,08:33,08:35,2分钟,1,47分,91,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A3%D6%DD,常州站,08:51,08:53,2分钟,1,1小时5分,136,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%CE%DE%CE%FD,无锡站,09:07,09:09,2分钟,1,1小时21分,175,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%CB%D5%D6%DD,苏州站,09:25,09:29,4分钟,1,1小时39分,217,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%CB%D5%D6%DD%D4%B0%C7%F8,苏州园区站,09:35,09:37,2分钟,1,1小时49分,227,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C0%A5%C9%BD%C4%CF,昆山南站,09:49,09:54,5分钟,1,2小时3分,251,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C9%CF%BA%A3%BA%E7%C7%C5,上海虹桥站,10:16,10:28,12分钟,1,2小时30分,301,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%BC%CE%D0%CB%C4%CF,嘉兴南站,10:57,11:00,3分钟,1,3小时11分,385,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%BA%A3%C4%FE%CE%F7,海宁西站,11:16,11:18,2分钟,1,3小时30分,434,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%BA%BC%D6%DD%B6%AB,杭州东站,11:31,11:35,4分钟,1,3小时45分,460,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%D3%E0%D2%A6%B1%B1,余姚北站,12:09,12:11,2分钟,1,4小时23分,566,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%C4%FE%B2%A8,宁波站,12:32,12:35,3分钟,1,4小时46分,615,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%B7%EE%BB%AF,奉化站,12:52,12:54,2分钟,1,5小时6分,653,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%CC%A8%D6%DD,台州站,13:35,13:37,2分钟,1,5小时49分,767,/,//,"
/
"
17,http://shike.gaotie.cn/zhan.asp?zhan=%CE%C2%C1%EB,温岭站,13:48,13:57,9分钟,1,6小时2分,791,/,//,"
/
"
18,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F0%B7%BB,绅坊站,14:15,14:17,2分钟,1,6小时29分,837,/,//,"
/
"
19,http://shike.gaotie.cn/zhan.asp?zhan=%CE%C2%D6%DD%C4%CF,温州南站,14:40,14:42,2分钟,1,6小时54分,890,/,//,"
/
"
20,http://shike.gaotie.cn/zhan.asp?zhan=%B8%A3%B6%A6,福鼎站,15:16,15:18,2分钟,1,7小时30分,984,/,//,"
/
"
21,http://shike.gaotie.cn/zhan.asp?zhan=%C2%DE%D4%B4,罗源站,16:03,16:05,2分钟,1,8小时17分,1120,/,//,"
/
"
22,http://shike.gaotie.cn/zhan.asp?zhan=%B8%A3%D6%DD%C4%CF,福州南站,16:35,16:40,5分钟,1,8小时49分,1184,/,//,"
/
"
23,http://shike.gaotie.cn/zhan.asp?zhan=%B8%A3%C7%E5,福清站,16:54,16:56,2分钟,1,9小时8分,1220,/,//,"
/
"
24,http://shike.gaotie.cn/zhan.asp?zhan=%C8%AA%D6%DD,泉州站,17:37,17:39,2分钟,1,9小时51分,1339,/,//,"
/
"
25,http://shike.gaotie.cn/zhan.asp?zhan=%CF%C3%C3%C5%B1%B1,厦门北站,18:05,18:09,4分钟,1,10小时19分,1410,/,//,"
/
"
26,http://shike.gaotie.cn/zhan.asp?zhan=%D5%C4%D6%DD,漳州站,18:31,18:33,2分钟,1,10小时45分,1452,/,//,"
/
"
27,http://shike.gaotie.cn/zhan.asp?zhan=%D4%C6%CF%F6,云霄站,19:01,19:03,2分钟,1,11小时15分,1528,/,//,"
/
"
28,http://shike.gaotie.cn/zhan.asp?zhan=%B3%B1%C9%C7,潮汕站,19:39,19:44,5分钟,1,11小时53分,1619,/,//,"
/
"
29,http://shike.gaotie.cn/zhan.asp?zhan=%C6%D5%C4%FE,普宁站,20:05,20:07,2分钟,1,12小时19分,1672,/,//,"
/
"
30,http://shike.gaotie.cn/zhan.asp?zhan=%C2%BD%B7%E1,陆丰站,20:31,20:33,2分钟,1,12小时45分,1733,/,//,"
/
"
31,http://shike.gaotie.cn/zhan.asp?zhan=%BB%DD%D6%DD%C4%CF,惠州南站,21:20,21:22,2分钟,1,13小时34分,1868,/,//,"
/
"
32,http://shike.gaotie.cn/zhan.asp?zhan=%C9%EE%DB%DA%B1%B1,深圳北站,21:53,终点站,0分钟,1,14小时7分,1924,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%EE%DB%DA%B1%B1,深圳北站,始发站,09:21,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%BB%DD%D6%DD%C4%CF,惠州南站,09:47,09:49,2分钟,1,26分,56,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C9%C7%CE%B2,汕尾站,10:24,10:26,2分钟,1,1小时3分,156,/,//,"
/
"
